"","N_1","N_2","N_3","Y_1","Y_2","Y_3"
"Gene_5219",48,52,42,52,61,58
"Gene_5220",192,144,132,111,170,156
"Gene_5221",20,16,27,10,36,14
"Gene_5222",6,12,38,9,10,12
"Gene_5223",0,1,0,0,0,0
"Gene_5224",4,5,11,1,7,7
"Gene_5225",37,13,19,24,21,14
"Gene_5226",6,4,3,4,7,1
"Gene_5227",80,68,72,51,75,60
"Gene_5228",0,0,0,1,0,0
"Gene_5229",101,127,145,149,132,158
"Gene_5230",11,30,59,11,38,31
"Gene_5231",64,22,12,9,78,39
"Gene_5232",15,3,7,2,12,13
"Gene_5233",68,18,26,38,27,211
"Gene_5234",5,7,5,5,7,5
"Gene_5235",34,34,33,24,49,37
"Gene_5236",16,3,10,16,21,17
"Gene_5237",0,0,0,1,0,1
"Gene_5238",6,8,3,4,8,3
"Gene_5239",3,5,6,5,8,5
"Gene_5240",431,614,380,454,501,299
"Gene_5241",0,0,1,0,1,2
"Gene_5242",1,3,6,9,0,0
"Gene_5243",6,9,8,9,9,6
"Gene_5244",6,6,4,3,1,2
"Gene_5245",131,210,345,381,137,99
"Gene_5246",4,5,13,2,2,3
"Gene_5247",4,5,19,7,5,11
"Gene_5248",8,11,14,7,5,4
"Gene_5249",0,0,1,0,0,0
"Gene_5250",2,0,3,1,1,2
"Gene_5251",25,37,36,23,44,39
"Gene_5252",18,26,18,21,21,18
"Gene_5253",0,0,1,0,0,0
"Gene_5254",70,60,82,87,82,83
"Gene_5255",10,6,7,9,7,8
"Gene_5256",0,0,1,2,0,1
"Gene_5257",50,42,22,43,39,40
"Gene_5258",1,0,0,0,0,0
"Gene_5259",13,18,28,39,24,30
"Gene_5260",17,3,1,14,13,2
"Gene_5261",436,618,241,203,673,322
"Gene_5262",0,0,0,1,1,0
"Gene_5263",11,6,4,7,13,5
"Gene_5264",5,5,29,10,9,11
"Gene_5265",16,14,23,21,33,30
"Gene_5266",24,17,22,15,22,14
"Gene_5267",8,16,7,13,13,18
"Gene_5268",2,0,0,0,0,0
"Gene_5269",264,284,222,179,327,237
"Gene_5270",0,0,1,0,0,0
"Gene_5271",13,5,4,1,10,4
"Gene_5272",127,122,91,37,126,118
"Gene_5273",13,11,9,2,9,6
"Gene_5274",1,1,3,0,3,1
"Gene_5275",8,3,3,2,0,1
"Gene_5276",0,0,0,0,0,1
"Gene_5277",1,0,1,0,0,2
"Gene_5278",0,0,3,0,0,0
"Gene_5279",91,98,72,41,115,80
"Gene_5280",0,1,0,0,1,0
"Gene_5281",5,0,1,1,4,1
"Gene_5282",0,1,0,6,3,0
"Gene_5283",8,7,14,8,5,8
"Gene_5284",11,6,9,7,5,10
"Gene_5285",4,3,5,1,4,5
"Gene_5286",1,0,0,0,0,0
"Gene_5287",0,0,1,0,1,0
"Gene_5288",4,3,26,19,5,12
"Gene_5289",10,3,5,5,8,12
"Gene_5290",4,21,10,15,10,12
"Gene_5291",1,1,0,0,2,0
"Gene_5292",35,26,21,30,27,38
"Gene_5293",96,154,51,101,96,245
"Gene_5294",37,47,40,94,38,72
"Gene_5295",2,5,0,1,1,1
"Gene_5296",11,7,9,1,10,4
"Gene_5297",26,13,12,14,20,17
"Gene_5298",4,13,10,10,23,22
"Gene_5299",86,93,71,57,99,105
"Gene_5300",0,0,0,2,1,3
"Gene_5301",218,179,186,169,270,223
"Gene_5302",8,21,12,19,9,29
"Gene_5303",3,1,2,3,1,4
"Gene_5304",4,0,1,0,1,0
"Gene_5305",58,90,103,74,90,83
"Gene_5306",1,0,1,0,0,1
"Gene_5307",2,2,0,0,1,1
"Gene_5308",61,50,31,14,68,71
"Gene_5309",7,7,8,12,10,8
"Gene_5310",1,1,2,2,6,5
"Gene_5311",317,485,389,400,373,493
"Gene_5312",420,373,329,435,531,370
"Gene_5313",28,21,36,15,32,30
"Gene_5314",103,109,111,135,148,90
"Gene_5315",32,26,57,27,51,41
"Gene_5316",11,15,12,11,9,8
"Gene_5317",1,0,1,0,2,4
"Gene_5318",1,0,0,0,0,0
"Gene_5319",3,3,5,7,4,6
"Gene_5320",35,36,16,17,40,22
"Gene_5321",4,3,4,1,2,4
"Gene_5322",10,2,2,8,4,4
"Gene_5323",17,14,32,6,2,7
"Gene_5324",0,1,1,0,0,0
"Gene_5325",21,23,15,12,26,19
"Gene_5326",69,37,49,52,94,61
"Gene_5327",87,77,115,105,125,144
"Gene_5328",18,17,14,10,13,11
"Gene_5329",6,3,9,1,11,4
"Gene_5330",17,15,26,8,36,27
"Gene_5331",5,3,1,4,15,0
"Gene_5332",0,0,0,2,0,0
"Gene_5333",57,71,87,35,83,91
"Gene_5334",4,3,4,4,2,3
"Gene_5335",9,16,11,8,16,24
"Gene_5336",0,2,4,3,4,1
"Gene_5337",13,14,9,14,20,8
"Gene_5338",0,5,3,11,4,6
"Gene_5339",61,61,49,52,97,59
"Gene_5340",452,303,293,404,491,434
"Gene_5341",11,12,15,22,10,13
"Gene_5342",2656,3739,2719,2160,4161,3276
"Gene_5343",5,2,20,3,2,4
"Gene_5344",38,63,20,93,71,47
"Gene_5345",1,0,0,0,0,0
"Gene_5346",1,2,1,1,1,0
"Gene_5347",1,1,3,2,1,5
"Gene_5348",123,191,348,313,178,237
"Gene_5349",31,47,61,44,47,42
"Gene_5350",39,26,19,33,37,21
"Gene_5351",5,17,22,9,16,37
"Gene_5352",115,68,55,76,125,101
"Gene_5353",13,10,5,8,12,27
"Gene_5354",33,23,12,8,46,18
"Gene_5355",1,0,4,3,4,6
"Gene_5356",19,32,26,32,43,33
"Gene_5357",107,78,72,78,112,101
"Gene_5358",21,8,19,6,13,20
"Gene_5359",581,559,289,227,588,607
"Gene_5360",6,5,2,4,15,6
"Gene_5361",115,118,121,146,128,126
"Gene_5362",0,1,1,2,1,1
"Gene_5363",0,0,3,0,0,0
"Gene_5364",220,316,261,360,436,425
"Gene_5365",26,16,16,3,17,16
"Gene_5366",1,0,0,0,0,0
"Gene_5367",1,0,0,1,0,0
"Gene_5368",2,2,4,2,3,3
"Gene_5369",202,418,283,651,263,314
"Gene_5370",92,87,80,106,135,106
"Gene_5371",7,11,28,12,9,13
"Gene_5372",525,618,221,385,736,499
"Gene_5373",1,0,3,2,4,2
"Gene_5374",0,1,0,0,0,0
"Gene_5375",1,0,4,0,2,4
"Gene_5376",0,1,4,0,2,2
"Gene_5377",0,1,0,0,0,0
"Gene_5378",1,1,0,0,3,0
"Gene_5379",13,8,30,16,28,32
"Gene_5380",5,9,2,6,11,7
"Gene_5381",0,0,0,0,0,4
"Gene_5382",86,83,62,105,107,83
"Gene_5383",54,33,46,39,44,35
"Gene_5384",3,5,3,4,4,9
"Gene_5385",6,4,12,8,11,10
"Gene_5386",6,6,3,0,4,12
"Gene_5387",6,5,3,2,3,1
"Gene_5388",0,0,1,0,0,0
"Gene_5389",0,0,1,0,1,0
"Gene_5390",7,15,11,5,15,9
"Gene_5391",68,89,113,63,110,73
"Gene_5392",7,30,64,10,12,22
"Gene_5393",1,0,0,0,1,0
"Gene_5394",8,3,3,3,8,4
"Gene_5395",0,0,2,2,1,3
"Gene_5396",6964,5965,6338,7750,13846,10948
"Gene_5397",9,6,16,9,8,14
"Gene_5398",398,334,276,296,495,383
"Gene_5399",0,0,0,1,0,2
"Gene_5400",1,2,3,2,1,0
"Gene_5401",9,18,4,9,27,15
"Gene_5402",5,3,5,0,1,2
"Gene_5403",3,0,0,1,0,2
"Gene_5404",1,1,1,2,0,0
"Gene_5405",1,0,0,0,0,0
"Gene_5406",80,74,78,68,158,94
"Gene_5407",80,84,104,88,108,119
"Gene_5408",3,3,0,2,4,5
"Gene_5409",2,2,6,0,0,2
"Gene_5410",1,2,10,4,2,0
"Gene_5411",5,10,6,5,7,1
"Gene_5412",62,19,44,18,94,35
"Gene_5413",1,0,0,2,2,6
"Gene_5414",11,13,48,5,10,7
"Gene_5415",1,0,4,0,1,0
"Gene_5416",11,13,10,20,13,20
"Gene_5417",26,20,13,0,13,48
"Gene_5418",237,399,478,693,251,751
"Gene_5419",69,84,92,33,94,89
"Gene_5420",2,1,0,0,0,0
"Gene_5421",83,75,42,76,111,116
"Gene_5422",1,1,1,3,7,5
"Gene_5423",1,0,0,0,0,0
"Gene_5424",1,0,0,0,0,0
"Gene_5425",0,0,0,0,2,0
"Gene_5426",0,0,0,0,1,0
"Gene_5427",184,132,186,109,194,218
"Gene_5428",2,0,1,1,1,2
"Gene_5429",128,166,137,237,179,192
"Gene_5430",119,112,166,106,213,182
"Gene_5431",1,0,0,0,0,0
"Gene_5432",59,72,63,35,49,66
"Gene_5433",472,547,405,417,439,514
"Gene_5434",13,12,9,29,14,15
"Gene_5435",16,10,11,10,21,9
"Gene_5436",75,96,118,133,95,139
"Gene_5437",12,21,12,7,21,14
"Gene_5438",1,1,1,4,1,1
"Gene_5439",148,163,81,69,110,123
"Gene_5440",192,204,247,124,208,312
"Gene_5441",83,82,138,105,107,105
"Gene_5442",14,8,40,8,8,9
"Gene_5443",0,0,0,0,1,0
"Gene_5444",94,102,118,155,125,169
"Gene_5445",12,26,14,19,35,17
"Gene_5446",116,85,134,112,126,188
"Gene_5447",0,0,0,0,0,2
"Gene_5448",103,225,155,104,327,139
"Gene_5449",596,491,464,313,790,721
"Gene_5450",4,0,3,3,1,6
"Gene_5451",18,17,23,34,4,11
"Gene_5452",1,1,9,8,1,1
"Gene_5453",0,0,9,1,4,1
"Gene_5454",1,0,1,0,0,0
"Gene_5455",3,1,2,0,3,0
"Gene_5456",1,1,1,1,1,2
"Gene_5457",76,73,58,53,126,96
"Gene_5458",6,1,4,8,5,7
"Gene_5459",2,3,10,4,5,2
"Gene_5460",11,8,15,6,17,7
"Gene_5461",9,19,193,11,6,12
"Gene_5462",1,0,0,0,1,1
"Gene_5463",46,35,42,11,46,32
"Gene_5464",745,1119,285,1830,1023,548
"Gene_5465",9,3,4,5,4,5
"Gene_5466",5,5,8,1,2,9
"Gene_5467",7,15,34,15,9,39
"Gene_5468",0,0,0,0,1,0
"Gene_5469",170,288,186,112,286,303
"Gene_5470",3,4,6,2,4,8
"Gene_5471",0,0,0,0,0,1
"Gene_5472",4,2,5,0,0,0
"Gene_5473",3,2,3,1,4,2
"Gene_5474",64,35,49,56,47,45
"Gene_5475",2343,1868,1821,2003,3681,2564
"Gene_5476",1,0,0,0,1,0
"Gene_5477",46,64,125,87,121,60
"Gene_5478",14,9,4,4,19,9
"Gene_5479",0,0,2,0,0,0
"Gene_5480",7444,7110,7798,7067,9467,11384
"Gene_5481",214,260,107,241,224,291
"Gene_5482",2,3,5,3,4,1
"Gene_5483",13,6,3,11,8,4
"Gene_5484",94,102,109,72,88,115
"Gene_5485",251,253,172,255,475,333
"Gene_5486",48,29,28,42,61,46
"Gene_5487",0,0,4,1,0,0
"Gene_5488",0,1,0,0,0,0
"Gene_5489",0,2,2,1,2,0
"Gene_5490",126,133,106,108,125,102
"Gene_5491",40,53,65,33,59,52
"Gene_5492",8,6,10,13,14,8
"Gene_5493",1,5,9,0,7,5
"Gene_5494",3,1,4,0,0,4
"Gene_5495",12,13,16,25,8,15
"Gene_5496",1155,925,753,641,1469,740
"Gene_5497",4,3,5,8,6,1
"Gene_5498",0,0,5,0,1,0
"Gene_5499",36,40,30,12,23,72
"Gene_5500",18,18,31,16,27,45
"Gene_5501",280,249,286,200,374,302
"Gene_5502",9,13,21,16,8,21
"Gene_5503",10,10,6,3,13,19
"Gene_5504",100,41,62,49,280,90
"Gene_5505",18,19,33,21,18,20
"Gene_5506",2,5,11,10,2,2
"Gene_5507",1,2,2,2,0,0
"Gene_5508",25,28,34,35,12,23
"Gene_5509",5,3,4,2,9,1
"Gene_5510",20,21,15,21,13,26
"Gene_5511",0,0,1,2,1,1
"Gene_5512",7,7,7,16,4,11
"Gene_5513",140,70,35,41,133,98
"Gene_5514",2,5,9,2,0,8
"Gene_5515",559,443,208,447,759,440
"Gene_5516",29,23,133,25,22,48
"Gene_5517",160,127,152,169,198,140
"Gene_5518",18,13,16,24,33,17
"Gene_5519",2,2,4,6,1,4
"Gene_5520",8,5,8,9,16,15
"Gene_5521",6,7,17,1,25,11
"Gene_5522",634,611,565,282,790,546
"Gene_5523",1,3,0,0,1,1
"Gene_5524",8,8,6,4,4,6
"Gene_5525",0,4,15,1,2,4
"Gene_5526",4,0,0,0,1,4
"Gene_5527",6,2,14,0,8,2
"Gene_5528",2,15,57,0,5,1
"Gene_5529",1,11,8,1,3,0
"Gene_5530",1,2,1,3,1,0
"Gene_5531",0,0,2,0,0,3
"Gene_5532",8,3,11,12,15,9
"Gene_5533",12,52,31,64,104,11
"Gene_5534",0,1,1,0,3,0
"Gene_5535",8,6,2,5,6,4
"Gene_5536",104,115,150,119,90,153
"Gene_5537",7,10,6,7,18,14
"Gene_5538",0,1,0,0,0,0
"Gene_5539",0,0,0,0,1,0
"Gene_5540",28,20,6,13,28,26
"Gene_5541",1,2,8,3,3,4
"Gene_5542",5,6,3,3,5,4
"Gene_5543",6,1,17,0,2,2
"Gene_5544",8,9,4,1,11,14
"Gene_5545",1,0,0,0,1,2
"Gene_5546",8,2,3,3,6,4
"Gene_5547",1,2,5,6,3,5
"Gene_5548",321,349,495,285,360,230
"Gene_5549",0,0,1,3,1,4
"Gene_5550",1,1,2,0,0,0
"Gene_5551",29,23,31,37,52,54
"Gene_5552",2,1,0,2,1,1
"Gene_5553",0,1,0,0,2,0
"Gene_5554",56,75,95,51,66,66
"Gene_5555",31,25,104,41,40,44
"Gene_5556",9,2,8,12,14,4
"Gene_5557",28,27,35,12,50,46
"Gene_5558",4,4,11,3,5,12
"Gene_5559",0,0,2,1,0,1
"Gene_5560",1,1,0,1,0,0
"Gene_5561",40,65,53,79,35,65
"Gene_5562",104,93,206,84,156,151
"Gene_5563",9,37,17,20,12,8
"Gene_5564",18,6,16,24,12,6
"Gene_5565",21,16,23,16,34,49
"Gene_5566",11,3,14,8,14,12
"Gene_5567",134,157,186,118,236,201
"Gene_5568",260,199,287,257,281,291
"Gene_5569",2,1,1,4,3,3
"Gene_5570",1,0,0,1,0,1
"Gene_5571",19,10,18,9,7,12
"Gene_5572",1,3,10,1,1,5
"Gene_5573",5,8,2,11,3,4
"Gene_5574",84,45,61,39,67,55
"Gene_5575",1,0,0,1,2,0
"Gene_5576",3,4,4,3,4,6
"Gene_5577",0,1,0,0,1,1
"Gene_5578",5,0,0,2,2,2
"Gene_5579",27,24,22,6,22,39
"Gene_5580",1,1,1,9,5,1
"Gene_5581",8,16,15,10,18,18
"Gene_5582",0,0,1,0,2,1
"Gene_5583",28,28,57,32,36,47
"Gene_5584",0,0,1,0,0,0
"Gene_5585",1,4,3,1,0,2
"Gene_5586",154,186,79,192,178,150
"Gene_5587",0,0,0,0,0,1
"Gene_5588",356,536,1347,571,796,489
"Gene_5589",243,247,334,213,449,443
"Gene_5590",12,13,3,5,15,7
"Gene_5591",3,1,2,1,0,1
"Gene_5592",92,79,42,51,148,112
"Gene_5593",26,13,19,28,21,32
"Gene_5594",71,61,58,66,84,84
"Gene_5595",4,1,9,0,3,8
"Gene_5596",4,4,2,1,12,7
"Gene_5597",330,247,296,149,378,385
"Gene_5598",3,2,3,3,8,1
"Gene_5599",599,693,899,559,791,673
"Gene_5600",2,1,5,5,2,4
"Gene_5601",2147,2255,1899,1317,3722,2342
"Gene_5602",7,6,64,2,8,3
"Gene_5603",22,25,18,7,24,23
"Gene_5604",0,0,1,0,0,0
"Gene_5605",80,108,69,79,121,148
"Gene_5606",37,44,45,27,53,55
"Gene_5607",0,1,1,0,0,0
"Gene_5608",35,18,15,13,30,17
"Gene_5609",38,23,40,21,35,44
"Gene_5610",0,0,1,0,0,2
"Gene_5611",17,14,27,4,19,13
"Gene_5612",87,181,82,87,145,113
"Gene_5613",7,7,4,4,5,3
"Gene_5614",76,39,34,28,67,62
"Gene_5615",0,4,4,4,1,1
"Gene_5616",1,3,5,1,2,1
"Gene_5617",63,74,59,58,82,99
"Gene_5618",108,104,142,121,172,178
"Gene_5619",1523,2142,799,961,3192,2143
"Gene_5620",59,78,155,60,98,156
"Gene_5621",69,85,115,101,86,101
"Gene_5622",77,61,73,69,97,101
"Gene_5623",21,58,72,78,63,43
"Gene_5624",193,207,122,286,226,217
"Gene_5625",51,38,21,31,60,31
"Gene_5626",34,40,31,17,47,35
"Gene_5627",437,316,519,353,506,318
"Gene_5628",0,1,0,1,1,0
"Gene_5629",46,56,52,127,87,64
"Gene_5630",0,2,0,0,4,1
"Gene_5631",1,0,0,0,1,0
"Gene_5632",262,216,366,72,201,214
"Gene_5633",2,3,6,3,3,4
"Gene_5634",8,4,5,4,5,12
"Gene_5635",142,192,138,124,180,202
"Gene_5636",35,63,46,30,55,85
"Gene_5637",1,2,1,3,2,3
"Gene_5638",2,0,2,2,9,5
"Gene_5639",8,10,22,9,20,22
"Gene_5640",26,21,58,42,36,35
"Gene_5641",1,5,3,3,5,1
"Gene_5642",54,73,66,87,72,94
"Gene_5643",55,59,43,59,53,73
"Gene_5644",11,2,10,3,16,3
"Gene_5645",1,0,1,2,3,0
"Gene_5646",97,87,69,59,11,1
"Gene_5647",0,1,0,1,0,1
"Gene_5648",0,0,6,1,0,0
"Gene_5649",33,36,28,31,35,49
"Gene_5650",74,54,77,53,110,106
"Gene_5651",191,216,173,264,222,159
"Gene_5652",8,2,0,1,4,2
"Gene_5653",66,67,124,73,91,111
"Gene_5654",53,64,98,44,56,37
"Gene_5655",2453,1955,2316,1437,3313,3501
"Gene_5656",95,65,60,101,120,88
"Gene_5657",4,2,9,5,7,3
"Gene_5658",3,9,20,7,16,6
"Gene_5659",8,5,15,7,12,7
"Gene_5660",0,0,0,1,2,1
"Gene_5661",5,5,6,3,12,12
"Gene_5662",16,9,28,10,27,19
"Gene_5663",141,160,162,173,239,218
"Gene_5664",1,1,0,0,0,0
"Gene_5665",5,2,0,5,4,0
"Gene_5666",12,9,2,13,16,3
"Gene_5667",122,124,43,95,145,130
"Gene_5668",25,25,19,39,33,47
"Gene_5669",7,1,0,2,8,5
"Gene_5670",8,8,23,7,7,7
"Gene_5671",6,8,14,30,11,10
"Gene_5672",14,23,22,23,27,26
"Gene_5673",2,1,2,1,1,2
"Gene_5674",2,0,0,1,3,1
"Gene_5675",254,209,154,274,336,397
"Gene_5676",111,102,92,91,141,131
"Gene_5677",29,24,19,18,32,46
"Gene_5678",114,113,100,75,184,154
"Gene_5679",13,18,18,22,20,29
"Gene_5680",9,20,32,18,15,31
"Gene_5681",4,1,3,2,7,7
"Gene_5682",44,49,68,71,78,76
"Gene_5683",30,18,14,7,21,16
"Gene_5684",107,90,91,99,158,126
"Gene_5685",134,104,98,111,117,114
"Gene_5686",22,42,16,30,44,70
"Gene_5687",1,0,0,0,0,0
"Gene_5688",775,787,585,709,1013,766
"Gene_5689",31,27,24,31,35,37
"Gene_5690",61,49,46,97,110,85
"Gene_5691",999,1310,707,1308,1936,1551
"Gene_5692",160,95,85,41,189,154
"Gene_5693",0,13,20,6,9,2
"Gene_5694",66,77,19,9,169,33
"Gene_5695",0,2,15,2,5,4
"Gene_5696",51,69,48,53,71,52
"Gene_5697",41,24,38,33,40,26
"Gene_5698",263,202,135,124,234,233
"Gene_5699",42,7,11,16,24,40
"Gene_5700",30,19,10,16,28,26
"Gene_5701",1,2,1,6,3,2
"Gene_5702",14,9,15,14,27,9
"Gene_5703",12,28,26,31,33,19
"Gene_5704",1,0,1,0,1,0
"Gene_5705",19,11,12,5,19,10
"Gene_5706",2,1,1,1,2,3
"Gene_5707",37,44,38,63,52,38
"Gene_5708",1,1,0,0,0,0
"Gene_5709",1,7,5,6,1,3
"Gene_5710",1,3,0,1,2,0
"Gene_5711",9,3,23,6,9,12
"Gene_5712",44,95,52,49,130,139
"Gene_5713",2,2,1,1,3,1
"Gene_5714",77,156,192,124,231,187
"Gene_5715",0,1,2,0,0,2
"Gene_5716",0,1,0,0,0,0
"Gene_5717",80,122,77,147,256,158
"Gene_5718",12,24,30,27,18,11
"Gene_5719",0,2,3,0,2,0
"Gene_5720",6,6,10,7,18,10
"Gene_5721",45,25,27,30,76,77
"Gene_5722",67,107,31,94,167,103
"Gene_5723",155,88,105,84,174,100
"Gene_5724",0,1,4,0,1,0
"Gene_5725",0,1,1,0,0,0
"Gene_5726",61,44,31,17,52,37
"Gene_5727",3,1,3,2,2,2
"Gene_5728",12,13,25,9,5,4
"Gene_5729",9,13,12,1,4,7
"Gene_5730",9,4,6,8,2,7
"Gene_5731",1,0,4,0,1,2
"Gene_5732",16,29,34,14,23,30
"Gene_5733",22,20,57,34,18,21
"Gene_5734",10,16,6,11,14,10
"Gene_5735",9,3,7,6,7,1
"Gene_5736",0,1,0,1,2,1
"Gene_5737",1,0,1,2,0,0
"Gene_5738",5,9,3,0,3,3
"Gene_5739",19,12,5,15,19,11
"Gene_5740",80,61,85,75,65,25
"Gene_5741",1,1,1,2,1,1
"Gene_5742",4,5,4,4,4,1
"Gene_5743",175,251,137,133,207,186
"Gene_5744",31,27,35,25,41,17
"Gene_5745",0,0,1,0,1,1
"Gene_5746",5,11,26,6,9,4
"Gene_5747",5,1,5,0,0,1
"Gene_5748",2,2,1,0,1,1
"Gene_5749",0,1,0,0,1,0
"Gene_5750",137,147,115,132,222,195
"Gene_5751",70,62,142,77,59,68
"Gene_5752",1,2,0,0,0,1
"Gene_5753",1,0,0,0,0,1
"Gene_5754",4,6,2,1,2,0
"Gene_5755",6,4,2,5,0,5
"Gene_5756",4,4,0,3,3,0
"Gene_5757",4,0,6,2,0,0
"Gene_5758",20,7,7,6,24,11
"Gene_5759",0,0,0,0,1,2
"Gene_5760",1,1,1,0,1,0
"Gene_5761",37,58,53,59,46,39
"Gene_5762",0,0,1,0,0,0
"Gene_5763",81,130,190,184,78,71
"Gene_5764",4,1,1,2,5,5
"Gene_5765",839,816,476,588,1011,830
"Gene_5766",74,69,43,30,62,40
"Gene_5767",27,21,30,16,17,32
"Gene_5768",0,1,0,2,3,1
"Gene_5769",224,193,142,79,705,360
"Gene_5770",1,0,3,1,0,2
"Gene_5771",0,1,1,0,0,0
"Gene_5772",2,5,3,4,1,2
"Gene_5773",0,1,0,0,0,0
"Gene_5774",11,32,28,23,18,16
"Gene_5775",7,5,2,6,1,5
"Gene_5776",5,7,3,13,12,9
"Gene_5777",0,0,1,0,0,0
"Gene_5778",0,1,0,0,0,0
"Gene_5779",24,15,16,12,22,16
"Gene_5780",2,0,2,1,2,0
"Gene_5781",2,3,0,3,4,3
"Gene_5782",14,17,28,12,15,20
"Gene_5783",2,0,2,1,0,0
"Gene_5784",2,1,0,0,0,1
"Gene_5785",0,1,1,2,2,2
"Gene_5786",8,1,4,0,1,1
"Gene_5787",4,2,2,4,4,1
"Gene_5788",0,0,0,0,1,0
"Gene_5789",8,4,6,5,9,5
"Gene_5790",25,6,24,9,11,13
"Gene_5791",2,6,22,8,17,11
"Gene_5792",211,260,306,243,479,399
"Gene_5793",0,1,0,0,0,0
"Gene_5794",0,0,1,0,0,0
"Gene_5795",7,2,2,0,3,3
"Gene_5796",2,0,0,0,1,0
"Gene_5797",19,18,10,7,17,19
"Gene_5798",6,7,3,1,12,7
"Gene_5799",0,0,1,0,0,0
"Gene_5800",3,3,0,1,4,3
"Gene_5801",20,23,8,32,17,11
"Gene_5802",1,5,0,1,0,0
"Gene_5803",14,12,5,24,34,21
"Gene_5804",44,34,43,16,55,48
"Gene_5805",18,19,15,9,18,16
"Gene_5806",1,2,1,1,2,3
"Gene_5807",37,42,75,28,24,30
"Gene_5808",10,17,30,16,16,9
"Gene_5809",222,180,1190,245,58,55
"Gene_5810",27,11,97,26,2,1
"Gene_5811",5,3,2,0,5,10
"Gene_5812",449,413,290,480,484,504
"Gene_5813",3,5,6,4,10,6
"Gene_5814",1,0,0,0,0,0
"Gene_5815",0,1,2,0,0,0
"Gene_5816",5,1,1,1,2,3
"Gene_5817",0,1,0,0,0,0
"Gene_5818",252,233,388,170,387,392
"Gene_5819",32,27,31,21,30,33
"Gene_5820",161,157,83,164,180,174
"Gene_5821",9,8,5,6,13,17
"Gene_5822",1,2,0,0,2,0
"Gene_5823",2,0,0,0,2,1
"Gene_5824",0,0,0,0,0,1
"Gene_5825",0,0,1,0,1,0
"Gene_5826",12,3,29,4,4,0
"Gene_5827",115,109,92,56,97,105
"Gene_5828",13,13,30,15,14,14
"Gene_5829",2,1,2,2,1,0
"Gene_5830",907,1340,2211,840,783,833
"Gene_5831",0,0,2,2,1,0
"Gene_5832",40,27,30,49,51,31
"Gene_5833",9,6,25,6,6,2
"Gene_5834",1,1,1,2,1,3
"Gene_5835",2,0,0,1,1,2
"Gene_5836",0,0,1,0,0,2
"Gene_5837",5,1,11,64,20,4
"Gene_5838",0,0,0,1,0,0
"Gene_5839",1,0,4,0,2,2
"Gene_5840",54,51,43,53,44,45
"Gene_5841",256,241,300,151,202,191
"Gene_5842",3,5,5,3,8,6
"Gene_5843",0,0,0,0,1,0
"Gene_5844",33,34,56,137,24,80
"Gene_5845",185,190,94,209,289,125
"Gene_5846",1,1,4,2,1,3
"Gene_5847",4658,4989,3234,5806,6499,7011
"Gene_5848",2,2,1,2,0,2
"Gene_5849",18,19,34,14,38,33
"Gene_5850",0,0,0,1,0,0
"Gene_5851",0,3,2,2,1,0
"Gene_5852",205,303,260,163,216,151
"Gene_5853",1,1,0,0,0,1
"Gene_5854",3,6,6,3,3,2
"Gene_5855",0,0,1,0,1,0
"Gene_5856",0,0,0,1,1,0
"Gene_5857",8,7,5,4,6,9
"Gene_5858",0,0,0,0,0,2
"Gene_5859",11,2,3,8,11,3
"Gene_5860",2,7,8,3,3,8
"Gene_5861",13,8,10,13,15,7
"Gene_5862",16,73,59,24,35,26
"Gene_5863",2,2,9,16,1,8
"Gene_5864",0,2,0,3,0,4
"Gene_5865",0,0,1,0,1,0
"Gene_5866",2,0,6,1,4,0
"Gene_5867",0,0,9,5,0,0
"Gene_5868",0,2,25,1,0,0
"Gene_5869",0,0,6,0,1,1
"Gene_5870",2,2,22,21,3,1
"Gene_5871",1,1,5,1,3,0
"Gene_5872",1,0,5,1,1,1
"Gene_5873",0,2,3,0,0,0
"Gene_5874",1,0,0,0,0,0
"Gene_5875",7,9,5,18,10,24
"Gene_5876",4,18,3,8,14,12
"Gene_5877",0,0,2,1,0,0
"Gene_5878",19,5,25,11,16,10
"Gene_5879",76,101,16,118,60,48
"Gene_5880",185,145,76,57,228,113
"Gene_5881",1,1,1,1,4,1
"Gene_5882",24,34,26,33,26,32
"Gene_5883",39,35,37,24,35,41
"Gene_5884",0,14,5,12,5,7
"Gene_5885",16,15,19,15,16,38
"Gene_5886",2,4,4,3,2,3
"Gene_5887",69,34,19,30,70,69
"Gene_5888",3,4,2,4,6,3
"Gene_5889",43,61,228,41,68,88
"Gene_5890",0,0,1,0,0,0
"Gene_5891",1,0,1,0,0,0
"Gene_5892",6,12,11,11,15,2
"Gene_5893",179,146,171,138,215,200
"Gene_5894",65,110,95,160,120,74
"Gene_5895",1,1,1,3,6,2
"Gene_5896",3,12,73,0,1,4
"Gene_5897",1,1,1,2,1,1
"Gene_5898",1,0,2,0,0,0
"Gene_5899",16,5,10,12,12,18
"Gene_5900",3,0,1,0,3,0
"Gene_5901",33,31,35,15,29,22
"Gene_5902",15,19,32,9,26,16
"Gene_5903",7,4,5,5,10,6
"Gene_5904",0,0,33,0,0,1
"Gene_5905",5,0,0,3,2,1
"Gene_5906",1,1,0,1,0,2
"Gene_5907",3,5,1,1,7,6
"Gene_5908",1,1,5,0,0,1
"Gene_5909",3,5,3,2,3,0
"Gene_5910",6,7,6,7,19,17
"Gene_5911",4,3,5,14,4,8
"Gene_5912",15,7,7,9,10,5
"Gene_5913",14,10,21,14,10,34
